survived,num__age,num__sibsp,num__parch,num__familiares,fare__fare,cat__sex_male,cat__embarked_Q,cat__embarked_S,cat__titulo_Miss,cat__titulo_Mr,cat__titulo_Mrs,cat__titulo_Otro,cat__pclass_2,cat__pclass_3
0,-0.5577910277347753,0.4327933656785018,-0.4736736092984604,0.059159876663617696,-0.8797405693934278,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.5741733858870235,0.4327933656785018,-0.4736736092984604,0.059159876663617696,1.3612199269233833,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-0.27479992432932565,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.798539974052802,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.3619300583329362,0.4327933656785018,-0.4736736092984604,0.059159876663617696,1.0620380556287106,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.3619300583329362,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.7841792430073967,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.267501589230375,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.7386163019798164,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.7061377995088223,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,1.038145562232327,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-1.9727465447620238,2.2474704895351842,0.7676298785983874,1.9195639980971482,0.1364991380659541,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,-0.2040521484779632,-0.47454519624983954,2.0089333664952354,0.6792945838081278,-0.48145578049281335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,-1.1237732345456748,0.4327933656785018,-0.4736736092984604,0.059159876663617696,0.4894379098126231,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,-1.831250993059299,0.4327933656785018,0.7676298785983874,0.6792945838081278,-0.09156500424402261,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1,1.989128902914272,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,0.36526093570402607,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0,-0.6992865794375002,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.7841792430073967,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.6449211617383859,0.4327933656785018,5.73284383018578,3.1598334123861687,0.5286989276421437,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,-1.1237732345456748,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.806763380796033,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1,1.7768855753601847,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.13322852057373055,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,-1.9727465447620238,3.1548090514635256,0.7676298785983874,2.5396987052416584,0.457519539438721,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.12138762043830403,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.3336984726090336,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0.07893895492748648,0.4327933656785018,-0.4736736092984604,0.059159876663617696,-0.01838583697289204,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,-0.09651552918389236,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.8828741679067217,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.3619300583329362,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,0.3444394801955362,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,0.29118228248157374,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.3336984726090336,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
1,-1.0530254586943124,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.7865550587251358,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1,-0.13330437262660078,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,0.6557188297748954,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,-1.5482598896538493,2.2474704895351842,0.7676298785983874,1.9195639980971482,0.1364991380659541,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1,0.5741733858870235,0.4327933656785018,5.73284383018578,3.1598334123861687,0.5322916934007406,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0.4913984881409293,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.8828741679067217,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,-0.7700343552888627,2.2474704895351842,2.0089333664952354,2.5396987052416584,2.6987007794454887,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,-0.7700343552888627,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.8038521494426432,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.20829701502904488,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.8019236166026618,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,0.7156689375897483,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,0.4082334475616762,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,-0.18424277123958166,0.4327933656785018,-0.4736736092984604,0.059159876663617696,2.097794920021772,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,-0.5224171398090941,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.8189865811572414,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,2.5551111097251713,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.5368057694182641,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,-0.13330437262660078,0.4327933656785018,-0.4736736092984604,0.059159876663617696,1.5060857797883969,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.8571644892924731,0.4327933656785018,-0.4736736092984604,0.059159876663617696,1.0408277503255374,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,-0.3596972553509605,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.8823470582632056,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,-0.6285388035861378,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.7841792430073967,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,-0.840782131140225,1.340131927606843,-0.4736736092984604,0.6792945838081278,-0.01838583697289204,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
1,-1.1237732345456748,0.4327933656785018,-0.4736736092984604,0.059159876663617696,-0.47227211715402734,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0.7156689375897483,0.4327933656785018,-0.4736736092984604,0.059159876663617696,-0.6331972544104215,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,-0.2040521484779632,0.4327933656785018,-0.4736736092984604,0.059159876663617696,0.1329851701219792,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0.17303349680979838,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.8019236166026618,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,-1.9019987689106614,0.4327933656785018,2.0089333664952354,1.299429290952638,0.8147822510349934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,-0.7700343552888627,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.8038521494426432,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,-0.47289369671314047,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.7841792430073967,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1.267501589230375,0.4327933656785018,-0.4736736092984604,0.059159876663617696,-0.16405229962564447,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,-0.5224171398090941,-0.47454519624983954,-0.4736736092984604,-0.5609748304808925,-0.8189865811572414,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
